IIT_INV_TYPE|IIT_ADMIN_UNIT|IIT_START_DATE|STD_SIGN_NO|SIGN_STRRM_NO|SZ|WD|HT|SQ_FT_NO|COLOR|STD_SIGN_TYP|SIGN_DESC|SIGN_STD_GRPH|SHOW|MMS_NO
SIGN|S|24-MAR-2015|OW7-3a-30|OW7-3a|30x30|30|30|900|BLK/YLW|WRN|NEXT X MILES||Y|
SIGN|S|24-MAR-2015|OW7-4-48|405630|48x48|48|48|2304|BLK/YLW|WRN|SLOW TRUCKS||Y|5630
SIGN|S|24-MAR-2015|OW80-1-60|OW80-1|30x60|30|60|1800|BLK/YLW|WRN|ATTENUATOR BOARD||Y|
SIGN|S|24-MAR-2015|OW8-11-36|405662|36x36|36|36|1296|BLK/YLW|WRN|SUNKEN GRADE||Y|5662
SIGN|S|24-MAR-2015|OW8-11-48|OW8-11|48x48|48|48|2304|BLK/YLW|WRN|SUNKEN GRADE||Y|
SIGN|S|24-MAR-2015|OW8-12L-36|405680|36x36|36|36|1296|BLK/YLW|WRN|TRUCK TIPPING LEFT (SYMBOL)||Y|5680
SIGN|S|24-MAR-2015|OW8-12L-48|405682|48x48|48|48|2304|BLK/YLW|WRN|TRUCK TIPPING LEFT (SYMBOL)||Y|5682
SIGN|S|24-MAR-2015|OW8-12R-36|405681|36x36|36|36|1296|BLK/YLW|WRN|TRUCK TIPPING RIGHT (SYMBOL)||Y|5681
SIGN|S|24-MAR-2015|OW8-12R-48|405683|48x48|48|48|2304|BLK/YLW|WRN|TRUCK TIPPING RIGHT (SYMBOL)||Y|5683
SIGN|S|24-MAR-2015|OW8-13-48|405684|48x48|48|48|2304|BLK/YLW|WRN|GROOVED PAVEMENT W/ MOTORCYCLE SYMBOL||Y|5684
SIGN|S|24-MAR-2015|R10-10L-30|R10-10L|24x30|24|30|720|BLK/SIL|REGLTY|LEFT TURN SIGNAL||Y|
SIGN|S|24-MAR-2015|R10-10R-30|R10-10R|24x30|24|30|720|BLK/SIL|REGLTY|RIGHT TURN SIGNAL||Y|
SIGN|S|24-MAR-2015|R10-11-30|R10-11|24x30|24|30|720|BLK/RED/SIL|REGLTY|NO TURN ON RED W/ DOT||Y|
SIGN|S|24-MAR-2015|R10-11A-36|405507|30x36|30|36|1080|BLK/SIL|REGLTY|NO TURN ON RED||Y|5507
SIGN|S|24-MAR-2015|R10-13-24|R10-13|36x24|36|24|864|BLK/SIL|REGLTY|EMERGENCY SIGNAL||Y|
SIGN|S|24-MAR-2015|R10-19-30|R10-19|36x30|36|30|1080|BLK/SIL|REGLTY|PHOTO ENFORCED||Y|
SIGN|S|24-MAR-2015|R10-6-36|R10-6|24x36|24|36|864|BLK/SIL|REGLTY|STOP HERE ON RED (W/DIAG. ARROW)||Y|
SIGN|S|24-MAR-2015|R10-6a-30|R10-6a|24x30|24|30|720|BLK/SIL|REGLTY|STOP HERE ON RED W/ CURVED ARROW||Y|
SIGN|S|24-MAR-2015|R10-6L-36|405504|24x36|24|36|864|BLK/SIL|REGLTY|STOP HERE ON RED W/ DIAG. LEFT ARROW||Y|5504
SIGN|S|24-MAR-2015|R10-6R-36|R10-6R|24x36|24|36|864|BLK/SIL|REGLTY|STOP HERE ON RED W/ DIAG. RIGHT ARROW||Y|
SIGN|S|24-MAR-2015|R10-7-30|R10-7|24x30|24|30|720|BLK/SIL|REGLTY|DO NOT BLOCK INTERSECTION||Y|
SIGN|S|24-MAR-2015|R11-1-48|R11-1|36x48|36|48|1728|BLK/SIL|REGLTY|KEEP OFF MEDIAN||Y|
SIGN|S|24-MAR-2015|R11-2-30|405505|48x30|48|30|1440|BLK/SIL|REGLTY|ROAD CLOSED||Y|5505
SIGN|S|24-MAR-2015|R1-1-24|405400|24x24|24|24|576|SIL/RED|REGLTY|STOP (NOT FOR USE ON STATE HIGHWAY)||Y|5400
SIGN|S|24-MAR-2015|R1-1-30|405401|30x30|30|30|900|SIL/RED|REGLTY|STOP||Y|5401
SIGN|S|24-MAR-2015|R1-1-36|405399|36x36|36|36|1296|SIL/RED|REGLTY|STOP||Y|5399
SIGN|S|24-MAR-2015|R1-1-48|405398|48x48|48|48|2304|SIL/RED|REGLTY|STOP||Y|5398
SIGN|S|24-MAR-2015|R1-2-30|405402|30x30|30|30|900|RED/SIL|REGLTY|YIELD||Y|5402
SIGN|S|24-MAR-2015|R1-2-36|405402|36x36|36|36|1296|RED/SIL|REGLTY|YIELD||Y|5402
SIGN|S|24-MAR-2015|R1-2-48|405403|48x48|48|48|2304|RED/SIL|REGLTY|YIELD||Y|5403
SIGN|S|24-MAR-2015|R12-5-48|R12-5|36x48|36|48|1728|BLK/SIL|REGLTY|WEIGHT LIMIT W/ SYMBOLS||Y|
SIGN|S|24-MAR-2015|R1-3-6|405404|12x6|12|6|72|SIL/RED|REGLTY|4-WAY||Y|5404
SIGN|S|24-MAR-2015|R14-1-12|R14-1|18x12|18|12|216|BLK/SIL|REGLTY|TRUCK ROUTE||Y|
