IIT_INV_TYPE|IIT_ADMIN_UNIT|IIT_START_DATE|GRAPH_ID|GRAPH_PATH|GRAPH_NM|GRAPH_DESC
SNGR|S|24-MAR-2015|67|C:\USR\R2SIGN\SYM\R12-1.PNG|R12-1|WEIGHT LIMIT
SNGR|S|24-MAR-2015|68|C:\USR\R2SIGN\SYM\R2-1.PNG|R2-1|SPEED LIMIT
SNGR|S|24-MAR-2015|69|C:\USR\R2SIGN\SYM\W5-2.PNG|W5-2|NARROW BRIDGE
SNGR|S|24-MAR-2015|70|C:\USR\R2SIGN\SYM\W2-4.PNG|W2-4|T INTERSECTION
SNGR|S|24-MAR-2015|71|C:\USR\R2SIGN\SYM\W2-2.PNG|W2-2|SIDE ROAD (90 DEGREES)
SNGR|S|24-MAR-2015|72|C:\USR\R2SIGN\SYM\OM-3L.PNG|OM-3L|OBJECT MARKER
SNGR|S|24-MAR-2015|73|C:\USR\R2SIGN\SYM\W1-7.PNG|W1-7|DOUBLE HEAD LARGE ARROW
SNGR|S|24-MAR-2015|74|C:\USR\R2SIGN\SYM\W7-5.PNG|W7-5|HILL (BICYCLE)
SNGR|S|24-MAR-2015|75|C:\USR\R2SIGN\SYM\SYM\R1-2.PNG|R1-2|YIELD
SNGR|S|24-MAR-2015|76|C:\USR\R2SIGN\SYM\R1-3.PNG|R1-3|4-WAY
SNGR|S|24-MAR-2015|77|C:\USR\R2SIGN\SYM\R2-5C.PNG|R2-5C|SPEED ZONE AHEAD
SNGR|S|24-MAR-2015|78|C:\USR\R2SIGN\SYM\R7-2A.PNG|R7-2A|PARKING REGULATION
SNGR|S|24-MAR-2015|79|C:\USR\R2SIGN\SYM\W14-3.PNG|W14-3|NO PASSING ZONE
SNGR|S|24-MAR-2015|80|C:\USR\R2SIGN\SYM\W2-5.PNG|W2-5|Y INTERSECTION
SNGR|S|24-MAR-2015|81|C:\USR\R2SIGN\SYM\W3-1.PNG|W3-1|STOP AHEAD SYMBOL
SNGR|S|24-MAR-2015|82|C:\USR\R2SIGN\SYM\W1-8.PNG|W1-8|CHEVRON ALIGNMENT
SNGR|S|24-MAR-2015|83|C:\USR\R2SIGN\SYM\W12-1.PNG|W12-1|DOUBLE ARROW
SNGR|S|24-MAR-2015|84|C:\USR\R2SIGN\SYM\W13-1.PNG|W13-1|ADVISORY SPEED PLATE
SNGR|S|24-MAR-2015|85|C:\USR\R2SIGN\SYM\W3-1A.PNG|W3-1A|STOP AHEAD
SNGR|S|24-MAR-2015|86|C:\USR\R2SIGN\SYM\W2-3.PNG|W2-3|SIDE ROAD (45 DEGREES)
SNGR|S|24-MAR-2015|87|C:\USR\R2SIGN\SYM\R7-201.PNG|R7-201|PARKING REGULATION/TOW-AWAY ZONE
SNGR|S|24-MAR-2015|88|C:\USR\R2SIGN\SYM\R1-1.PNG|R1-1|STOP
SNGR|S|24-MAR-2015|157|C:\USR\R2SIGN\SYM\W10-1.PNG|W10-1|ADVANCE RAILROAD CROSSING
SNGR|S|24-MAR-2015|158|C:\USR\R2SIGN\SYM\RG-150.PNG|RG-150|PEDESTRIAN CROSSING
SNGR|S|24-MAR-2015|159|C:\USR\R2SIGN\SYM\W11A-2.PNG|W11A-2|PEDESTRIAN CROSSING
SNGR|S|24-MAR-2015|160|C:\USR\R2SIGN\SYM\R8-3A.PNG|R8-3A|PARKING REGULATION
SNGR|S|24-MAR-2015|161|C:\USR\R2SIGN\SYM\R7-107A.PNG|R7-107A|PARKING REGULATION/BUS STOP
SNGR|S|24-MAR-2015|162|C:\USR\R2SIGN\SYM\R7-7.PNG|R7-7|PARKING REGULATION/BUS STOP
SNGR|S|24-MAR-2015|163|C:\USR\R2SIGN\SYM\W7-1B.PNG|W7-1B|HILL
SNGR|S|24-MAR-2015|164|C:\USR\R2SIGN\SYM\E1-1.PNG|E1-1|ADVANCE INTERCHANGE
SNGR|S|24-MAR-2015|165|C:\USR\R2SIGN\SYM\E11-1A.PNG|E11-1A|EXIT ONLY
SNGR|S|24-MAR-2015|166|C:\USR\R2SIGN\SYM\E1-2.PNG|E1-2|ADVANCE INTERCHANGE
SNGR|S|24-MAR-2015|167|C:\USR\R2SIGN\SYM\E1-3.PNG|E1-3|ADVANCE INTERCHANGE
SNGR|S|24-MAR-2015|168|C:\USR\R2SIGN\SYM\E1-5.PNG|E1-5|EXIT PANEL
SNGR|S|24-MAR-2015|169|C:\USR\R2SIGN\SYM\E11-1.PNG|E11-1|EXIT ONLY
SNGR|S|24-MAR-2015|170|C:\USR\R2SIGN\SYM\E11-1BL.PNG|E11-1BL|EXIT
SNGR|S|24-MAR-2015|171|C:\USR\R2SIGN\SYM\E11-1C.PNG|E11-1C|EXIT ONLY
SNGR|S|24-MAR-2015|172|C:\USR\R2SIGN\SYM\E2-1.PNG|E2-1|NEXT EXIT
SNGR|S|24-MAR-2015|173|C:\USR\R2SIGN\SYM\E2-1A.PNG|E2-1A|NEXT EXIT
SNGR|S|24-MAR-2015|174|C:\USR\R2SIGN\SYM\E5-1.PNG|E5-1|GORE/EXIT
SNGR|S|24-MAR-2015|175|C:\USR\R2SIGN\SYM\E5-1A.PNG|E5-1A|GORE/EXIT NUMBER
SNGR|S|24-MAR-2015|176|C:\USR\R2SIGN\SYM\E5-2.PNG|E5-2|GORE/EXIT NUMBER
SNGR|S|24-MAR-2015|177|C:\USR\R2SIGN\SYM\E7.PNG|E7|POST INTERCHANGE DISTANCE
SNGR|S|24-MAR-2015|178|C:\USR\R2SIGN\SYM\E8-1.PNG|E8-1|INTERCHANGE SEQUENCE
SNGR|S|24-MAR-2015|179|C:\USR\R2SIGN\SYM\E8-2.PNG|E8-2|COMMUNITY INTERCHANGE IDENTIFICATION
SNGR|S|24-MAR-2015|180|C:\USR\R2SIGN\SYM\E9.PNG|E9|NEXT EXITS
SNGR|S|24-MAR-2015|181|C:\USR\R2SIGN\SYM\G20-1.PNG|G20-1|ROAD WORK
SNGR|S|24-MAR-2015|182|C:\USR\R2SIGN\SYM\G20-2.PNG|G20-2|END CONSTRUCTION
SNGR|S|24-MAR-2015|183|C:\USR\R2SIGN\SYM\E11-1BR.PNG|E11-1BR|ONLY
SNGR|S|24-MAR-2015|184|C:\USR\R2SIGN\SYM\G20-4.PNG|G20-4|PILOT CAR
SNGR|S|24-MAR-2015|185|C:\USR\R2SIGN\SYM\I1-1.PNG|I1-1|TRAFFIC SIGNAL SPEED
SNGR|S|24-MAR-2015|186|C:\USR\R2SIGN\SYM\I-2.PNG|I-2|GENERAL INFORMATION
SNGR|S|24-MAR-2015|187|C:\USR\R2SIGN\SYM\I-3.PNG|I-3|GENERAL INFORMATION
SNGR|S|24-MAR-2015|188|C:\USR\R2SIGN\SYM\I-4.PNG|I-4|HIKING
SNGR|S|24-MAR-2015|189|C:\USR\R2SIGN\SYM\I-5.PNG|I-5|AIRPORT
SNGR|S|24-MAR-2015|190|C:\USR\R2SIGN\SYM\I-6.PNG|I-6|BUS STOP
SNGR|S|24-MAR-2015|191|C:\USR\R2SIGN\SYM\I-7.PNG|I-7|TRAIN STATION
SNGR|S|24-MAR-2015|192|C:\USR\R2SIGN\SYM\I-8.PNG|I-8|LIBRARY
SNGR|S|24-MAR-2015|193|C:\USR\R2SIGN\SYM\I-9.PNG|I-9|MARINA
SNGR|S|24-MAR-2015|194|C:\USR\R2SIGN\SYM\I-10.PNG|I-10|WINTER RECREATION AREA
SNGR|S|24-MAR-2015|195|C:\USR\R2SIGN\SYM\M1-1.PNG|M1-1|INTERSTATE SHIELD
SNGR|S|24-MAR-2015|196|C:\USR\R2SIGN\SYM\M1-2.PNG|M1-2|BUSINESS LOOP INTERSTATE SHIELD
SNGR|S|24-MAR-2015|197|C:\USR\R2SIGN\SYM\M1-3.PNG|M1-3|BUSINESS SPUR INTERSTATE SHIELD
SNGR|S|24-MAR-2015|198|C:\USR\R2SIGN\SYM\M1-4.PNG|M1-4|US ROUTE MARKER
SNGR|S|24-MAR-2015|199|C:\USR\R2SIGN\SYM\M1-5.PNG|M1-5|STATE ROUTE MARKER
SNGR|S|24-MAR-2015|200|C:\USR\R2SIGN\SYM\M1-6.PNG|M1-6|COUNTY ROUTE MARKER
SNGR|S|24-MAR-2015|201|C:\USR\R2SIGN\SYM\M1-7.PNG|M1-7|FOREST ROUTE
SNGR|S|24-MAR-2015|202|C:\USR\R2SIGN\SYM\M2-1.PNG|M2-1|JUNCTION MARKER
SNGR|S|24-MAR-2015|203|C:\USR\R2SIGN\SYM\M3-1.PNG|M3-1|CARDINAL DIRECTION MARKER
SNGR|S|24-MAR-2015|204|C:\USR\R2SIGN\SYM\M3-2.PNG|M3-2|CARDINAL DIRECTION MARKER
SNGR|S|24-MAR-2015|205|C:\USR\R2SIGN\SYM\M3-3.PNG|M3-3|CARDINAL DIRECTION MARKER
SNGR|S|24-MAR-2015|206|C:\USR\R2SIGN\SYM\M3-4.PNG|M3-4|CARDINAL DIRECTION MARKER
SNGR|S|24-MAR-2015|207|C:\USR\R2SIGN\SYM\M4-1.PNG|M4-1|ALTERNATE MARKER
SNGR|S|24-MAR-2015|208|C:\USR\R2SIGN\SYM\M4-1A.PNG|M4-1A|ALTERNATE MARKER
SNGR|S|24-MAR-2015|209|C:\USR\R2SIGN\SYM\M4-2.PNG|M4-2|BY-PASS MARKER
SNGR|S|24-MAR-2015|210|C:\USR\R2SIGN\SYM\M4-3.PNG|M4-3|BUSINESS ROUTE MARKER
SNGR|S|24-MAR-2015|211|C:\USR\R2SIGN\SYM\M4-4.PNG|M4-4|TRUCK ROUTE MARKER
SNGR|S|24-MAR-2015|212|C:\USR\R2SIGN\SYM\M4-5.PNG|M4-5|TO MARKER
SNGR|S|24-MAR-2015|213|C:\USR\R2SIGN\SYM\M4-6.PNG|M4-6|END MARKER
SNGR|S|24-MAR-2015|214|C:\USR\R2SIGN\SYM\M4-7.PNG|M4-7|TEMPORARY MARKER
SNGR|S|24-MAR-2015|215|C:\USR\R2SIGN\SYM\M4-8.PNG|M4-8|DETOUR MARKER
SNGR|S|24-MAR-2015|216|C:\USR\R2SIGN\SYM\M4-8A.PNG|M4-8A|END DETOUR MARKER
SNGR|S|24-MAR-2015|217|C:\USR\R2SIGN\SYM\M4-9R.PNG|M4-9R|DETOUR MARKER RIGHT
SNGR|S|24-MAR-2015|218|C:\USR\R2SIGN\SYM\M4-9L.PNG|M4-9L|DETOUR MARKER LEFT
SNGR|S|24-MAR-2015|219|C:\USR\R2SIGN\SYM\M5-1.PNG|M5-1|ADVANCE TURN ARROW (90 DEGREES)
SNGR|S|24-MAR-2015|220|C:\USR\R2SIGN\SYM\M5-2.PNG|M5-2|ADVANCE TURN ARROW (45 DEGREES)
SNGR|S|24-MAR-2015|221|C:\USR\R2SIGN\SYM\M6-1.PNG|M6-1|DIRECTIONAL ARROW
SNGR|S|24-MAR-2015|222|C:\USR\R2SIGN\SYM\M6-2.PNG|M6-2|DIRECTIONAL ARROW
SNGR|S|24-MAR-2015|223|C:\USR\R2SIGN\SYM\M6-3.PNG|M6-3|DIRECTIONAL ARROW
SNGR|S|24-MAR-2015|224|C:\USR\R2SIGN\SYM\M6-4.PNG|M6-4|DIRECTIONAL ARROWS
SNGR|S|24-MAR-2015|225|C:\USR\R2SIGN\SYM\M6-5.PNG|M6-5|DIRECTIONAL ARROWS
SNGR|S|24-MAR-2015|226|C:\USR\R2SIGN\SYM\M6-6.PNG|M6-6|DIRECTIONAL ARROWS
SNGR|S|24-MAR-2015|227|C:\USR\R2SIGN\SYM\M6-7.PNG|M6-7|DIRECTIONAL ARROWS
SNGR|S|24-MAR-2015|228|C:\USR\R2SIGN\SYM\R1-4.PNG|R1-4|ALL WAY
SNGR|S|24-MAR-2015|229|C:\USR\R2SIGN\SYM\R10-1.PNG|R10-1|CROSS ON GREEN LIGHT ONLY
SNGR|S|24-MAR-2015|230|C:\USR\R2SIGN\SYM\R10-10L.PNG|R10-10L|LEFT TURN SIGNAL
SNGR|S|24-MAR-2015|231|C:\USR\R2SIGN\SYM\R10-10R.PNG|R10-10R|RIGHT TURN SIGNAL
SNGR|S|24-MAR-2015|232|C:\USR\R2SIGN\SYM\R10-11A.PNG|R10-11A|NO TURN ON RED
SNGR|S|24-MAR-2015|233|C:\USR\R2SIGN\SYM\R10-11B.PNG|R10-11B|NO TURN ON RED
SNGR|S|24-MAR-2015|234|C:\USR\R2SIGN\SYM\R10-12.PNG|R10-12|LEFT TURN YIELD ON GREEN
SNGR|S|24-MAR-2015|235|C:\USR\R2SIGN\SYM\R10-2.PNG|R10-2|CROSS ON WALK SIGNAL ONLY
SNGR|S|24-MAR-2015|236|C:\USR\R2SIGN\SYM\R10-2A.PNG|R10-2A|CROSS ONLY ON WALK SIGNAL
SNGR|S|24-MAR-2015|237|C:\USR\R2SIGN\SYM\R10-3.PNG|R10-3|PEDESTRIAN ACTUATED SIGNAL
SNGR|S|24-MAR-2015|238|C:\USR\R2SIGN\SYM\R10-4.PNG|R10-4|PEDESTRIAN ACTUATED SIGNAL
SNGR|S|24-MAR-2015|239|C:\USR\R2SIGN\SYM\R10-4B.PNG|R10-4B|PEDESTRIAN ACTUATED SIGNAL
SNGR|S|24-MAR-2015|240|C:\USR\R2SIGN\SYM\R10-5.PNG|R10-5|LEFT ON GREEN ARROW ONLY
SNGR|S|24-MAR-2015|241|C:\USR\R2SIGN\SYM\R10-6.PNG|R10-6|STOP HERE ON RED
SNGR|S|24-MAR-2015|242|C:\USR\R2SIGN\SYM\R10-7.PNG|R10-7|DO NOT BLOCK INTERSECTION
SNGR|S|24-MAR-2015|243|C:\USR\R2SIGN\SYM\R10-8.PNG|R10-8|USE LANE WITH GREEN ARROW
SNGR|S|24-MAR-2015|244|C:\USR\R2SIGN\SYM\R11-1.PNG|R11-1|KEEP OFF MEDIAN
SNGR|S|24-MAR-2015|245|C:\USR\R2SIGN\SYM\R11-2.PNG|R11-2|ROAD CLOSED
SNGR|S|24-MAR-2015|247|C:\USR\R2SIGN\SYM\R11-4.PNG|R11-4|ROAD CLOSED
SNGR|S|24-MAR-2015|248|C:\USR\R2SIGN\SYM\R12-2.PNG|R12-2|WEIGHT LIMIT
SNGR|S|24-MAR-2015|249|C:\USR\R2SIGN\SYM\R12-3.PNG|R12-3|WEIGHT LIMIT
SNGR|S|24-MAR-2015|250|C:\USR\R2SIGN\SYM\R12-4.PNG|R12-4|WEIGHT LIMIT
SNGR|S|24-MAR-2015|251|C:\USR\R2SIGN\SYM\R12-5.PNG|R12-5|WEIGHT LIMIT
SNGR|S|24-MAR-2015|252|C:\USR\R2SIGN\SYM\R13-1.PNG|R13-1|WEIGH STATION
SNGR|S|24-MAR-2015|253|C:\USR\R2SIGN\SYM\R14-1.PNG|R14-1|TRUCK ROUTE
SNGR|S|24-MAR-2015|254|C:\USR\R2SIGN\SYM\R14-2.PNG|R14-2|HAZARDOUS CARGO
SNGR|S|24-MAR-2015|255|C:\USR\R2SIGN\SYM\R14-3.PNG|R14-3|NO HAZARDOUS CARGO
SNGR|S|24-MAR-2015|256|C:\USR\R2SIGN\SYM\R14-4.PNG|R14-4|NATIONAL NETWORK ROUTE
SNGR|S|24-MAR-2015|257|C:\USR\R2SIGN\SYM\R14-5.PNG|R14-5|NO NATIONAL NETWORK ROUTE
SNGR|S|24-MAR-2015|258|C:\USR\R2SIGN\SYM\R16-1.PNG|R16-1|SEAT BELT REQUIRED
SNGR|S|24-MAR-2015|259|C:\USR\R2SIGN\SYM\R2-2.PNG|R2-2|TRUCK SPEED LIMIT
SNGR|S|24-MAR-2015|260|C:\USR\R2SIGN\SYM\R2-3.PNG|R2-3|NIGHT SPEED LIMIT
SNGR|S|24-MAR-2015|261|C:\USR\R2SIGN\SYM\R2-4.PNG|R2-4|MINIMUM SPEED LIMIT
SNGR|S|24-MAR-2015|262|C:\USR\R2SIGN\SYM\R2-4A.PNG|R2-4A|SPEED LIMITS
SNGR|S|24-MAR-2015|263|C:\USR\R2SIGN\SYM\R2-5A.PNG|R2-5A|REDUCED SPEED AHEAD
SNGR|S|24-MAR-2015|264|C:\USR\R2SIGN\SYM\R2-5B.PNG|R2-5B|REDUCED SPEED
SNGR|S|24-MAR-2015|265|C:\USR\R2SIGN\SYM\R3-1.PNG|R3-1|NO RIGHT TURN
SNGR|S|24-MAR-2015|266|C:\USR\R2SIGN\SYM\R3-10.PNG|R3-10|PREFERENTIAL LANE
SNGR|S|24-MAR-2015|267|C:\USR\R2SIGN\SYM\R3-11.PNG|R3-11|PREFERENTIAL LANE
SNGR|S|24-MAR-2015|268|C:\USR\R2SIGN\SYM\R3-12.PNG|R3-12|PREFERENTIAL LANE
SNGR|S|24-MAR-2015|269|C:\USR\R2SIGN\SYM\R3-13.PNG|R3-13|PREFERENTIAL LANE
SNGR|S|24-MAR-2015|270|C:\USR\R2SIGN\SYM\R3-14.PNG|R3-14|PREFERENTIAL LANE
SNGR|S|24-MAR-2015|271|C:\USR\R2SIGN\SYM\R3-15.PNG|R3-15|PREFERENTIAL LANE
SNGR|S|24-MAR-2015|272|C:\USR\R2SIGN\SYM\R3-3.PNG|R3-3|NO TURNS
SNGR|S|24-MAR-2015|273|C:\USR\R2SIGN\SYM\R3-4.PNG|R3-4|NO U-TURN
SNGR|S|24-MAR-2015|274|C:\USR\R2SIGN\SYM\R3-5.PNG|R3-5|LANE USE CONTROL
SNGR|S|24-MAR-2015|275|C:\USR\R2SIGN\SYM\R3-6.PNG|R3-6|LANE USE CONTROL
SNGR|S|24-MAR-2015|276|C:\USR\R2SIGN\SYM\R3-7L.PNG|R3-7L|LANE USE CONTROL
SNGR|S|24-MAR-2015|277|C:\USR\R2SIGN\SYM\R3-8.PNG|R3-8|LANE USE CONTROL
SNGR|S|24-MAR-2015|278|C:\USR\R2SIGN\SYM\R3-9A.PNG|R3-9A|TWO WAY LEFT TURN ONLY
SNGR|S|24-MAR-2015|279|C:\USR\R2SIGN\SYM\R3-7R.PNG|R3-7R|LANE USE CONTROL
SNGR|S|24-MAR-2015|280|C:\USR\R2SIGN\SYM\R3-9B.PNG|R3-9B|TWO WAY LEFT TURN ONLY
SNGR|S|24-MAR-2015|281|C:\USR\R2SIGN\SYM\R4-1.PNG|R4-1|DO NOT PASS
SNGR|S|24-MAR-2015|282|C:\USR\R2SIGN\SYM\R4-2.PNG|R4-2|PASS WITH CARE
SNGR|S|24-MAR-2015|283|C:\USR\R2SIGN\SYM\R4-3.PNG|R4-3|SLOWER TRAFFIC KEEP RIGHT
SNGR|S|24-MAR-2015|284|C:\USR\R2SIGN\SYM\R4-4.PNG|R4-4|LANE USE CONTROL
SNGR|S|24-MAR-2015|285|C:\USR\R2SIGN\SYM\R4-5.PNG|R4-5|UPHILL TRAFFIC LANE USE CONTROL
SNGR|S|24-MAR-2015|286|C:\USR\R2SIGN\SYM\R4-6.PNG|R4-6|UPHILL TRAFFIC LANE USE CONTROL
SNGR|S|24-MAR-2015|287|C:\USR\R2SIGN\SYM\R4-7.PNG|R4-7|KEEP RIGHT
SNGR|S|24-MAR-2015|288|C:\USR\R2SIGN\SYM\R4-7A.PNG|R4-7A|KEEP RIGHT
SNGR|S|24-MAR-2015|289|C:\USR\R2SIGN\SYM\R4-7B.PNG|R4-7B|KEEP RIGHT
SNGR|S|24-MAR-2015|290|C:\USR\R2SIGN\SYM\R4-8.PNG|R4-8|KEEP LEFT
